Lane 1 Flow (Veh/5 Minutes),Time,Clearance Time in Seconds
12,0:00,199
13,0:05,197
11,0:10,213
13,0:15,198
10,0:20,286
10,0:25,207
13,0:30,192
11,0:35,287
10,0:40,199
6,0:45,124
7,0:50,208
8,0:55,254
8,1:00,217
12,1:05,231
7,1:10,209
5,1:15,210
2,1:20,136
6,1:25,169
4,1:30,222
3,1:35,179
5,1:40,190
6,1:45,171
5,1:50,219
6,1:55,197
7,2:00,213
7,2:05,192
7,2:10,236
3,2:15,105
8,2:20,200
5,2:25,190
6,2:30,229
4,2:35,178
5,2:40,274
7,2:45,219
2,2:50,210
9,2:55,178
10,3:00,174
7,3:05,155
4,3:10,225
6,3:15,218
6,3:20,192
4,3:25,246
6,3:30,219
15,3:35,167
8,3:40,195
9,3:45,192
17,3:50,152
16,3:55,252
11,4:00,212
15,4:05,157
19,4:10,203
15,4:15,218
20,4:20,276
26,4:25,259
24,4:30,221
27,4:35,196
40,4:40,176
50,4:45,279
52,4:50,453
51,4:55,189
47,5:00,187
51,5:05,370
67,5:10,311
72,5:15,421
63,5:20,358
68,5:25,409
93,5:30,313
93,5:35,279
98,5:40,474
95,5:45,409
92,5:50,274
98,5:55,477
114,6:00,451
98,6:05,346
129,6:10,569
125,6:15,521
141,6:20,1115
123,6:25,658
146,6:30,640
139,6:35,1109
146,6:40,1124
146,6:45,1187
134,6:50,419
134,6:55,591
147,7:00,681
138,7:05,1322
144,7:10,857
131,7:15,847
118,7:20,312
104,7:25,473
110,7:30,446
98,7:35,486
83,7:40,480
79,7:45,388
77,7:50,216
77,7:55,290
87,8:00,375
91,8:05,384
92,8:10,412
79,8:15,312
86,8:20,375
93,8:25,346
94,8:30,380
101,8:35,479
90,8:40,473
83,8:45,351
80,8:50,352
85,8:55,411
86,9:00,480
79,9:05,369
87,9:10,353
104,9:15,580
94,9:20,283
136,9:25,786
126,9:30,859
123,9:35,726
112,9:40,362
104,9:45,404
94,9:50,522
118,9:55,298
87,10:00,308
101,10:05,422
104,10:10,351
97,10:15,278
103,10:20,597
