Lane 1 Flow (Veh/5 Minutes),Time,Clearance Time in Seconds,Safe
12,0:00,199,1
13,0:05,197,1
11,0:10,213,1
13,0:15,198,1
10,0:20,286,1
10,0:25,207,1
13,0:30,192,1
11,0:35,287,1
10,0:40,199,1
6,0:45,124,1
7,0:50,208,1
8,0:55,254,1
8,1:00,217,1
12,1:05,231,1
7,1:10,209,1
5,1:15,210,1
2,1:20,136,1
6,1:25,169,1
4,1:30,222,1
3,1:35,179,1
5,1:40,190,1
6,1:45,171,1
5,1:50,219,1
6,1:55,197,1
7,2:00,213,1
7,2:05,192,1
7,2:10,236,1
3,2:15,105,1
8,2:20,200,1
5,2:25,190,1
6,2:30,229,1
4,2:35,178,1
5,2:40,274,1
7,2:45,219,1
2,2:50,210,1
9,2:55,178,1
10,3:00,174,1
7,3:05,155,1
4,3:10,225,1
6,3:15,218,1
6,3:20,192,1
4,3:25,246,1
6,3:30,219,1
15,3:35,167,1
8,3:40,195,1
9,3:45,192,1
17,3:50,152,1
16,3:55,252,1
11,4:00,212,1
15,4:05,157,1
19,4:10,203,1
15,4:15,218,1
20,4:20,276,1
26,4:25,259,1
24,4:30,221,1
27,4:35,196,1
40,4:40,176,1
50,4:45,279,1
52,4:50,453,1
51,4:55,189,1
47,5:00,187,1
51,5:05,370,1
67,5:10,311,1
72,5:15,421,1
63,5:20,358,1
68,5:25,409,1
93,5:30,313,1
93,5:35,279,1
98,5:40,474,1
95,5:45,409,1
92,5:50,274,1
98,5:55,477,1
114,6:00,451,0
98,6:05,346,1
129,6:10,569,0
125,6:15,521,0
141,6:20,1115,0
123,6:25,658,0
146,6:30,640,0
139,6:35,1109,0
146,6:40,1124,0
146,6:45,1187,0
134,6:50,419,0
134,6:55,591,0
147,7:00,681,0
138,7:05,1322,0
144,7:10,857,0
131,7:15,847,0
118,7:20,312,0
104,7:25,473,0
110,7:30,446,0
98,7:35,486,1
83,7:40,480,1
79,7:45,388,1
77,7:50,216,1
77,7:55,290,1
87,8:00,375,1
91,8:05,384,1
92,8:10,412,1
79,8:15,312,1
86,8:20,375,1
93,8:25,346,1
94,8:30,380,1
101,8:35,479,0
90,8:40,473,1
83,8:45,351,1
80,8:50,352,1
85,8:55,411,1
86,9:00,480,1
79,9:05,369,1
87,9:10,353,1
104,9:15,580,0
94,9:20,283,1
136,9:25,786,0
126,9:30,859,0
123,9:35,726,0
112,9:40,362,0
104,9:45,404,0
94,9:50,522,1
118,9:55,298,0
87,10:00,308,1
101,10:05,422,0
104,10:10,351,0
97,10:15,278,1
103,10:20,597,0
87,10:25,309,1
102,10:30,678,0
99,10:35,360,1
94,10:40,254,1
86,10:45,433,1
96,10:50,473,1
88,10:55,482,1
83,11:00,397,1
87,11:05,477,1
94,11:10,437,1
94,11:15,351,1
86,11:20,405,1
112,11:25,494,0
102,11:30,811,0
