5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,Safe,Clearance Time in Seconds,Time
04/01/2016 0:00,12,1,100,1,39,0:00
04/01/2016 0:05,13,1,100,1,40,0:05
04/01/2016 0:10,11,1,100,1,28,0:10
04/01/2016 0:15,13,1,100,1,31,0:15
04/01/2016 0:20,10,1,100,1,18,0:20
04/01/2016 0:25,10,1,100,1,22,0:25
04/01/2016 0:30,13,1,100,1,1,0:30
04/01/2016 0:35,11,1,100,1,54,0:35
04/01/2016 0:40,10,1,100,1,45,0:40
04/01/2016 0:45,6,1,100,1,2,0:45
04/01/2016 0:50,7,1,100,1,50,0:50
04/01/2016 0:55,8,1,100,1,37,0:55
04/01/2016 1:00,8,1,100,1,33,1:00
04/01/2016 1:05,12,1,100,1,56,1:05
04/01/2016 1:10,7,1,100,1,25,1:10
04/01/2016 1:15,5,1,100,1,3,1:15
04/01/2016 1:20,2,1,100,1,10,1:20
04/01/2016 1:25,6,1,100,1,34,1:25
04/01/2016 1:30,4,1,100,1,28,1:30
04/01/2016 1:35,3,1,100,1,7,1:35
04/01/2016 1:40,5,1,100,1,38,1:40
04/01/2016 1:45,6,1,100,1,1,1:45
04/01/2016 1:50,5,1,100,1,42,1:50
04/01/2016 1:55,6,1,100,1,19,1:55
04/01/2016 2:00,7,1,100,1,59,2:00
04/01/2016 2:05,7,1,100,1,4,2:05
04/01/2016 2:10,7,1,100,1,30,2:10
04/01/2016 2:15,3,1,100,1,22,2:15
04/01/2016 2:20,8,1,100,1,43,2:20
04/01/2016 2:25,5,1,100,1,9,2:25
04/01/2016 2:30,6,1,100,1,57,2:30
04/01/2016 2:35,4,1,100,1,9,2:35
04/01/2016 2:40,5,1,100,1,57,2:40
04/01/2016 2:45,7,1,100,1,55,2:45
04/01/2016 2:50,2,1,100,1,18,2:50
04/01/2016 2:55,9,1,100,1,59,2:55
04/01/2016 3:00,10,1,100,1,33,3:00
04/01/2016 3:05,7,1,100,1,14,3:05
04/01/2016 3:10,4,1,100,1,47,3:10
04/01/2016 3:15,6,1,100,1,39,3:15
04/01/2016 3:20,6,1,100,1,20,3:20
04/01/2016 3:25,4,1,100,1,32,3:25
04/01/2016 3:30,6,1,100,1,0,3:30
04/01/2016 3:35,15,1,100,1,52,3:35
04/01/2016 3:40,8,1,100,1,31,3:40
04/01/2016 3:45,9,1,100,1,33,3:45
04/01/2016 3:50,17,1,100,1,12,3:50
04/01/2016 3:55,16,1,100,1,7,3:55
04/01/2016 4:00,11,1,100,1,39,4:00
04/01/2016 4:05,15,1,100,1,55,4:05
04/01/2016 4:10,19,1,100,1,49,4:10
04/01/2016 4:15,15,1,100,1,21,4:15
04/01/2016 4:20,20,1,100,1,30,4:20
04/01/2016 4:25,26,1,100,1,32,4:25
04/01/2016 4:30,24,1,100,1,38,4:30
04/01/2016 4:35,27,1,100,1,55,4:35
04/01/2016 4:40,40,1,100,1,3,4:40
04/01/2016 4:45,50,1,100,1,22,4:45
04/01/2016 4:50,52,1,100,1,45,4:50
04/01/2016 4:55,51,1,100,1,9,4:55
04/01/2016 5:00,47,1,100,1,38,5:00
04/01/2016 5:05,51,1,100,1,6,5:05
04/01/2016 5:10,67,1,100,1,48,5:10
04/01/2016 5:15,72,1,100,1,25,5:15
04/01/2016 5:20,63,1,100,1,24,5:20
04/01/2016 5:25,68,1,100,1,38,5:25
04/01/2016 5:30,93,1,100,1,18,5:30
04/01/2016 5:35,93,1,100,1,19,5:35
04/01/2016 5:40,98,1,100,1,25,5:40
04/01/2016 5:45,95,1,100,1,16,5:45
04/01/2016 5:50,92,1,100,1,48,5:50
04/01/2016 5:55,98,1,100,1,19,5:55
04/01/2016 6:00,114,1,100,0,1600,6:00
04/01/2016 6:05,98,1,100,1,55,6:05
04/01/2016 6:10,129,1,100,0,883,6:10
04/01/2016 6:15,125,1,100,0,746,6:15
04/01/2016 6:20,141,1,100,0,1539,6:20
04/01/2016 6:25,123,1,100,0,1637,6:25
04/01/2016 6:30,146,1,100,0,480,6:30
04/01/2016 6:35,139,1,100,0,1126,6:35
04/01/2016 6:40,146,1,100,0,1100,6:40
04/01/2016 6:45,146,1,100,0,931,6:45
04/01/2016 6:50,134,1,100,0,288,6:50
04/01/2016 6:55,134,1,100,0,901,6:55
04/01/2016 7:00,147,1,100,0,1443,7:00
04/01/2016 7:05,138,1,100,0,706,7:05
04/01/2016 7:10,144,1,100,0,1442,7:10
04/01/2016 7:15,131,1,100,0,1647,7:15
04/01/2016 7:20,118,1,100,0,572,7:20
04/01/2016 7:25,104,1,100,0,337,7:25
04/01/2016 7:30,110,1,100,0,1523,7:30
04/01/2016 7:35,98,1,100,1,35,7:35
04/01/2016 7:40,83,1,100,1,51,7:40
04/01/2016 7:45,79,1,100,1,53,7:45
04/01/2016 7:50,77,1,100,1,50,7:50
04/01/2016 7:55,77,1,100,1,5,7:55
04/01/2016 8:00,87,1,100,1,9,8:00
04/01/2016 8:05,91,1,100,1,4,8:05
04/01/2016 8:10,92,1,100,1,44,8:10
04/01/2016 8:15,79,1,100,1,1,8:15
04/01/2016 8:20,86,1,100,1,51,8:20
04/01/2016 8:25,93,1,100,1,36,8:25
04/01/2016 8:30,94,1,100,1,10,8:30
04/01/2016 8:35,101,1,100,0,1044,8:35
04/01/2016 8:40,90,1,100,1,29,8:40
04/01/2016 8:45,83,1,100,1,26,8:45
04/01/2016 8:50,80,1,100,1,59,8:50
04/01/2016 8:55,85,1,100,1,6,8:55
04/01/2016 9:00,86,1,100,1,7,9:00
04/01/2016 9:05,79,1,100,1,47,9:05
04/01/2016 9:10,87,1,100,1,46,9:10
04/01/2016 9:15,104,1,100,0,1269,9:15
04/01/2016 9:20,94,1,100,1,48,9:20
04/01/2016 9:25,136,1,100,0,903,9:25
04/01/2016 9:30,126,1,100,0,1252,9:30
04/01/2016 9:35,123,1,100,0,1306,9:35
04/01/2016 9:40,112,1,100,0,1809,9:40
04/01/2016 9:45,104,1,100,0,533,9:45
04/01/2016 9:50,94,1,100,1,7,9:50
04/01/2016 9:55,118,1,100,0,907,9:55
04/01/2016 10:00,87,1,100,1,29,10:00
04/01/2016 10:05,101,1,100,0,1557,10:05
04/01/2016 10:10,104,1,100,0,702,10:10
04/01/2016 10:15,97,1,100,1,31,10:15
04/01/2016 10:20,103,1,100,0,1707,10:20
04/01/2016 10:25,87,1,100,1,50,10:25
04/01/2016 10:30,102,1,100,0,659,10:30
04/01/2016 10:35,99,1,100,1,53,10:35
04/01/2016 10:40,94,1,100,1,48,10:40
04/01/2016 10:45,86,1,100,1,29,10:45
04/01/2016 10:50,96,1,100,1,4,10:50
04/01/2016 10:55,88,1,100,1,33,10:55
04/01/2016 11:00,83,1,100,1,1,11:00
04/01/2016 11:05,87,1,100,1,33,11:05
04/01/2016 11:10,94,1,100,1,23,11:10
04/01/2016 11:15,94,1,100,1,24,11:15
04/01/2016 11:20,86,1,100,1,21,11:20
04/01/2016 11:25,112,1,100,0,1006,11:25
04/01/2016 11:30,102,1,100,0,1492,11:30
04/01/2016 11:35,70,1,100,1,44,11:35
04/01/2016 11:40,97,1,100,1,59,11:40
04/01/2016 11:45,80,1,100,1,5,11:45
04/01/2016 11:50,80,1,100,1,12,11:50
04/01/2016 11:55,89,1,100,1,27,11:55
04/01/2016 12:00,93,1,100,1,21,12:00
04/01/2016 12:05,81,1,100,1,26,12:05
04/01/2016 12:10,88,1,100,1,33,12:10
04/01/2016 12:15,81,1,100,1,36,12:15
04/01/2016 12:20,92,1,100,1,51,12:20
04/01/2016 12:25,87,1,100,1,57,12:25
04/01/2016 12:30,83,1,100,1,55,12:30
04/01/2016 12:35,98,1,100,1,54,12:35
04/01/2016 12:40,98,1,100,1,17,12:40
04/01/2016 12:45,89,1,100,1,39,12:45
04/01/2016 12:50,93,1,100,1,39,12:50
04/01/2016 12:55,85,1,100,1,11,12:55
04/01/2016 13:00,99,1,100,1,6,13:00
04/01/2016 13:05,67,1,100,1,9,13:05
04/01/2016 13:10,89,1,100,1,43,13:10
04/01/2016 13:15,63,1,100,1,54,13:15
04/01/2016 13:20,88,1,100,1,15,13:20
04/01/2016 13:25,89,1,100,1,21,13:25
04/01/2016 13:30,80,1,100,1,20,13:30
04/01/2016 13:35,79,1,100,1,33,13:35
04/01/2016 13:40,98,1,100,1,37,13:40
04/01/2016 13:45,102,1,100,0,1854,13:45
04/01/2016 13:50,83,1,100,1,29,13:50
04/01/2016 13:55,88,1,100,1,38,13:55
04/01/2016 14:00,102,1,100,0,1549,14:00
04/01/2016 14:05,93,1,100,1,32,14:05
04/01/2016 14:10,78,1,100,1,15,14:10
04/01/2016 14:15,87,1,100,1,38,14:15
04/01/2016 14:20,93,1,100,1,30,14:20
04/01/2016 14:25,80,1,100,1,26,14:25
04/01/2016 14:30,67,1,100,1,18,14:30
04/01/2016 14:35,86,1,100,1,9,14:35
04/01/2016 14:40,107,1,100,0,473,14:40
04/01/2016 14:45,100,1,100,1,49,14:45
04/01/2016 14:50,76,1,100,1,0,14:50
04/01/2016 14:55,104,1,100,0,310,14:55
04/01/2016 15:00,95,1,100,1,36,15:00
